id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
350886,CN-0238,small_airport,"Dongyang Hengdian General Airport",29.12513,120.24343,364,AS,China,CN,"Zhejiang Province",CN-33,33,Jinhua,0,,,,,,,50,2021-12-21T16:25:44+00:00
44273,CN-0195,small_airport,"Liushuibao Airfield",41.187138,121.167239,,AS,China,CN,"Liaoning Province",CN-21,21,Jinzhou,0,,,,,,,50,2021-10-12T16:21:08+00:00
355969,CN-0363,small_airport,"Shuangchengzi North Airfield",40.5392,100.0185,3701,AS,China,CN,"Gansu Province",CN-62,62,"Jiuquan (Jinta)",0,,,,,,,50,2022-08-03T11:09:00+00:00
350988,CN-0280,small_airport,"Huyanghe Wuwu Airport",44.885235,84.720739,991,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Karamay,0,,,,,,,50,2022-06-28T16:51:49+00:00
350980,CN-0272,small_airport,"Xinhe Qianfu Airport",41.66629,82.58655,3373,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Kuqa,0,,,,,,新河千佛机场,50,2021-12-23T11:01:23+00:00
350948,CN-0252,small_airport,"Xueye Aeronautics Technology Sports Park",36.43788,117.56978,770,AS,China,CN,"Shandong Province",CN-37,37,Laiwu,0,,,,,,,50,2021-12-22T17:09:41+00:00
430024,CN-0385,small_airport,"Lanping Fenghua General Airport",26.64518,99.54419,8276,AS,China,CN,"Yunnan Province",CN-53,53,"Lanping Bai",0,,LFH,,,,"Feng Hua",50,2023-04-10T11:52:22+00:00
318170,CN-0052,small_airport,"Leshan Jiajiang Airport",29.732148,103.613477,,AS,China,CN,"Sichuan Province",CN-51,51,"Leshan (Jiajiang)",0,,,,,,,50,2022-08-29T14:17:53+00:00
44109,CN-0033,small_airport,"Damxung Air Base",30.486273,91.082561,14105,AS,China,CN,"Tibet Autonomous Region",CN-54,54,"Lhasa (Damxung)",0,,,,,,Dangxiong,50,2022-09-20T16:32:06+00:00
31819,ZULP,small_airport,"Liangping Airport",30.679399,107.786003,,AS,China,CN,"Chongqing Municipality",CN-50,50,Liangping,0,ZULP,LIA,,,https://en.wikipedia.org/wiki/Liangping_Airport,,50,2016-05-31T09:19:23+00:00
354521,CN-0336,small_airport,"Runway 07",34.763616,119.434175,,AS,China,CN,"Jiangsu Province",CN-32,32,Lianyungang,0,,,,,,,50,2022-08-01T13:28:39+00:00
